timestamp,power_consumption (Watts),voltage_levels (Volts),current_fluctuations (Amperes),temperature (Celsius),environmental_conditions,current_fluctuations_env (Amperes),fault_type
07:53:23,106.18,238.52,6.127983561008608,21.97,2,0.78,1
16:28:29,58.71,235.99,3.01,24.16,0,0.1,0
19:17:46,195.49,234.97,1.06,13.64,2,0.92,0
18:19:43,95.64,225.74,2.16,15.82,2,3.06,0
08:26:19,116.02,213.66,2.48,10.69,0,4.55,0
00:07:57,88.82,229.88,1.56,20.4,2,2.73,0
16:40:07,188.28,212.65,0.98,10.9,0,1.63,0
09:55:49,108.3,218.14,4.14,17.14,1,1.4,0
10:58:50,131.4,214.23,4.01,11.49,0,4.93,0
06:00:29,165.84,215.96,0.03,26.31,0,3.53,0
00:11:46,159.35,233.14,0.37,17.17,0,0.58,0
02:36:42,179.47,228.7,1.65,11.27,2,1.55,0
15:41:25,98.78,231.89,3.19,27.74,1,2.36,0
15:05:07,67.94,231.4,7.281386789093172,21.23,2,3.85,1
09:17:28,128.41,222.83,0.13,12.16,0,0.16,0
12:12:47,145.46,219.43,2.54,28.15,0,1.25,0
02:05:25,111.56,232.67,1.14,11.54,2,1.45,0
04:02:45,74.18,237.89,4.04,22.67,1,4.36,0
06:29:07,170.55,215.6,4.46,20.79,1,4.04,0
20:05:45,100.64,238.29,1.62,20.38,2,3.52,0
06:57:42,104.54,239.15,4.81,15.04,2,2.49,0
06:30:04,86.31,230.16,3.81,14.75,2,3.64,0
13:07:52,105.17,228.97,3.17,20.72,1,0.45,0
04:12:04,175.3,219.62,0.93,10.82,2,2.95,0
00:55:45,153.64,221.6,4.68,12.75,2,1.71,0
16:18:56,67.02,237.74,4.39,15.16,2,3.3,0
04:13:03,172.58,226.66,2.65,14.84,0,0.47,0
07:20:13,184.58,237.01,3.17,16.78,0,1.75,0
14:56:06,74.24,236.96,3.03,10.18,0,0.51,0
10:04:57,149.53,210.15,0.8,20.97,1,3.46,0
20:26:20,147.79,216.73,3.56,14.74,0,1.63,0
11:41:58,161.97,229.49,4.25,23.15,2,2.84,0
14:41:18,64.05,221.03,1.33,14.88,1,4.87,0
06:14:54,123.88,215.86,3.61,15.62,2,0.12,0
06:57:49,146.82,215.31,4.7,29.08,2,4.57,0
03:56:10,105.52,210.46,4.64,18.56,0,4.83,0
21:42:25,194.54,235.59,1.47,17.7,2,4.26,0
05:59:09,97.54,215.08,2.78,28.72,0,3.48,0
17:44:46,135.51,212.92,3.08,29.8,2,0.7,0
05:42:31,127.75,236.32,3.7,23.94,2,3.51,0
14:34:05,103.92,218.81,4.05,26.2,1,4.34,0
10:40:57,186.99,225.34,2.51,25.97,1,3.25,0
21:06:26,54.58,211.12,4.11,17.2,2,0.64,0
20:41:42,128.34,233.1,1.08,22.46,2,0.43,0
07:55:53,127.45,219.69,3.98,15.42,0,2.19,0
07:34:54,61.77,210.76,4.81,26.72,2,3.48,0
21:09:57,111.34,215.2,0.78,15.0,1,2.75,0
20:34:34,157.19,229.81,1.4,29.1,2,3.69,0
09:00:39,133.15,228.35,2.1,14.95,2,1.78,0
02:55:22,155.55,224.23,0.49,19.83,0,2.37,0
19:01:24,75.98,223.02,1.99,22.32,0,3.18,0
07:49:00,74.44,212.12,3.21,10.53,0,2.93,0
03:35:46,191.03,227.26,1.94,22.87,2,2.29,0
10:01:28,131.84,238.24,1.93,29.22,0,4.53,0
16:24:22,79.37,212.08,0.5,10.36,2,0.47,0
08:53:54,152.45,212.14,1.59,26.9,1,0.12,0
12:02:20,160.26,234.1,1.41,13.55,1,3.75,0
03:28:46,171.03,239.72,2.06,17.44,0,3.88,0
05:22:52,108.38,210.33,4.53,11.83,0,1.6,0
22:38:41,124.16,211.73,2.75,18.83,0,4.44,0
00:16:09,62.62,231.03,0.36,26.44,1,3.53,0
22:31:45,62.2,212.55,9.368398701772508,17.49,2,1.85,1
16:48:10,133.76,222.73,4.53,12.22,2,2.46,0
17:06:13,161.91,227.5,4.81,17.5,2,1.43,0
16:09:56,180.29,216.71,4.82,10.24,2,4.85,0
11:21:37,56.47,236.73,2.64,29.86,2,0.37,0
16:44:13,183.54,223.67,3.1,15.55,0,0.94,0
13:03:14,154.72,226.08,1.55,26.28,0,3.42,0
16:13:12,74.39,237.33,4.11,29.0,2,3.63,0
16:42:51,106.47,234.32,4.94,13.01,1,2.97,0
23:53:05,91.01,211.69,9.309910511221716,26.26,2,5.0,1
23:50:49,69.37,238.62,3.03,14.57,0,3.36,0
02:14:57,142.72,220.74,0.57,23.43,0,2.6,0
05:28:02,110.52,214.02,0.14,25.1,1,3.1,0
10:43:00,155.61,216.39,0.68,10.29,2,1.75,0
19:12:38,99.31,229.0,1.2,11.52,2,0.64,0
23:56:15,69.21,214.56,0.69,22.82,2,0.91,0
17:28:48,56.13,215.07,1.39,13.54,0,0.44,0
02:05:04,68.1,223.82,5.101184485888096,17.29,2,2.52,1
19:19:39,55.9,233.98,3.14,11.64,2,4.37,0
18:03:11,188.13,211.83,1.38,26.12,2,3.74,0
01:17:50,77.68,216.28,1.85,19.69,1,3.09,0
10:44:24,105.34,223.88,3.74,10.73,0,1.26,0
08:46:10,157.0,236.86,2.56,20.64,0,0.54,0
02:59:21,117.11,225.98,1.21,15.38,1,1.89,0
03:06:53,139.04,230.37,3.95,19.97,0,0.43,0
23:12:37,104.46,229.38,2.85,17.12,2,4.93,0
19:42:42,140.87,217.12,0.51,13.06,2,1.23,0
12:44:39,74.1,215.6,1.43,13.47,0,4.48,0
15:29:14,62.04,225.74,2.05,29.65,0,0.56,0
15:01:32,109.68,239.08,4.33,26.34,0,1.29,0
00:11:34,75.63,230.06,4.65,21.14,1,2.86,0
13:39:37,92.0,233.08,0.94,16.47,2,2.13,0
14:48:34,126.14,217.27,0.57,22.21,0,1.44,0
23:31:27,137.19,214.63,2.41,20.65,1,0.26,0
18:20:13,88.2,230.45,3.8,21.91,1,2.36,0
07:55:36,176.27,214.19,3.98,14.03,1,0.82,0
20:00:18,74.64,234.44,3.33,20.46,1,1.79,0
15:29:31,181.58,221.77,4.08,18.78,2,1.88,0
17:15:20,119.4,219.04,3.74,20.05,0,1.16,0
10:42:07,184.94,221.52,2.72,28.13,0,3.12,0
22:31:55,143.01,226.0,4.47,25.77,1,0.76,0
